id,species,scientific_name,observer,date,lat,lon,place_guess,image_url
288797418,American Bison,Bison bison,jmmxre,2025-06-10,44.64587,-110.458655,"Grand Loop Rd, Yellowstone National Park, WY, US",https://static.inaturalist.org/photos/519389016/medium.jpg
288379539,American Bison,Bison bison,heathermarie,2025-06-09,44.9025833333,-110.2448966667,"Yellowstone National Park, Yellowstone National Park, WY, US",https://inaturalist-open-data.s3.amazonaws.com/photos/518603784/medium.jpg
288344373,American Bison,Bison bison,ihearttoads,2025-06-09,44.5725021099,-110.8378717641,"Yellowstone National Park, Yellowstone National Park, WY, US",https://inaturalist-open-data.s3.amazonaws.com/photos/518533591/medium.jpg
288341996,American Bison,Bison bison,riparianrorey,2025-06-09,44.8381112,-110.7340829997,"Mammoth, WY 82190, USA",https://inaturalist-open-data.s3.amazonaws.com/photos/518528748/medium.jpg
288116156,American Bison,Bison bison,tesgeorge,2025-06-08,44.9148166667,-110.2703166667,"NE Entrance Rd, Yellowstone National Park, WY, US",https://inaturalist-open-data.s3.amazonaws.com/photos/518102285/medium.jpg
288323635,American Bison,Bison bison,tree_trunk,2025-06-08,44.4614966667,-110.84108,"Yellowstone National Park, Teton County, US-WY, US",https://inaturalist-open-data.s3.amazonaws.com/photos/518493393/medium.jpg
288386288,American Bison,Bison bison,blazeclaw,2025-06-07,44.6775730562,-110.495764484,"Park County, WY, USA",https://inaturalist-open-data.s3.amazonaws.com/photos/518614837/medium.jpg
287775283,American Bison,Bison bison,dtaylorforester,2025-06-07,44.9553656972,-110.5976570025,"Mammoth, WY 82190, USA",https://static.inaturalist.org/photos/517464759/medium.jpg
287479376,American Bison,Bison bison,jenna9705,2025-06-06,44.7030016218,-110.5808717385,"Mammoth, WY 82190, USA",https://static.inaturalist.org/photos/516911550/medium.jpg
287474645,American Bison,Bison bison,tree_trunk,2025-06-06,44.6222916667,-110.4302366667,"Yellowstone National Park, Park County, US-WY, US",https://inaturalist-open-data.s3.amazonaws.com/photos/516901373/medium.jpg
288083507,American Bison,Bison bison,anniethebook,2025-06-06,44.596413865,-110.5471101058,"Yellowstone National Park, US, WY",https://inaturalist-open-data.s3.amazonaws.com/photos/518038488/medium.jpg
287410074,American Bison,Bison bison,jenna9705,2025-06-06,44.5720149202,-110.8187964186,"Mammoth, WY 82190, USA",https://static.inaturalist.org/photos/516779774/medium.jpg
287568155,American Bison,Bison bison,cneger,2025-06-06,44.572429657,-110.8198928833,Yellowstone National Park,https://inaturalist-open-data.s3.amazonaws.com/photos/517968080/medium.jpg
288274398,American Bison,Bison bison,flutterbees79,2025-06-06,44.878375,-110.1522666667,"NE Entrance Rd, Yellowstone National Park, WY, US",https://inaturalist-open-data.s3.amazonaws.com/photos/518399009/medium.jpg
287474832,American Bison,Bison bison,tree_trunk,2025-06-06,44.625195,-110.4348533333,"Yellowstone National Park, Park County, US-WY, US",https://inaturalist-open-data.s3.amazonaws.com/photos/516901647/medium.jpg
287474904,American Bison,Bison bison,tree_trunk,2025-06-06,44.620255,-110.4257366667,"Yellowstone National Park, Park County, US-WY, US",https://inaturalist-open-data.s3.amazonaws.com/photos/516901743/medium.jpg
287513349,American Bison,Bison bison,fightingextinction,2025-06-06,44.5137213318,-110.8329367308,"Yellowstone National Park, Teton County, US-WY, US",https://inaturalist-open-data.s3.amazonaws.com/photos/516976731/medium.jpg
287178338,American Bison,Bison bison,jenna9705,2025-06-05,44.6186479278,-110.4242257029,"Mammoth, WY 82190, USA",https://static.inaturalist.org/photos/516344998/medium.jpg
288574935,American Bison,Bison bison,bflores1125,2025-06-04,44.5171300595,-110.4319320247,"Mammoth, WY 82190, USA",https://inaturalist-open-data.s3.amazonaws.com/photos/518972320/medium.jpg
288080145,American Bison,Bison bison,gtguy,2025-06-03,44.8661805556,-110.1707555556,"Park County, WY, USA",https://inaturalist-open-data.s3.amazonaws.com/photos/518028091/medium.jpg
288080144,American Bison,Bison bison,gtguy,2025-06-03,44.8662944444,-110.1717694444,"Park County, WY, USA",https://inaturalist-open-data.s3.amazonaws.com/photos/518027967/medium.jpg
288080140,American Bison,Bison bison,gtguy,2025-06-03,44.86615,-110.1723138889,"Park County, WY, USA",https://inaturalist-open-data.s3.amazonaws.com/photos/518027874/medium.jpg
288080137,American Bison,Bison bison,gtguy,2025-06-03,44.8119686097,-110.1782773396,United States,https://inaturalist-open-data.s3.amazonaws.com/photos/518027481/medium.jpg
288080130,American Bison,Bison bison,gtguy,2025-06-03,44.8739583333,-110.2086027778,"Park County, WY, USA",https://inaturalist-open-data.s3.amazonaws.com/photos/518027309/medium.jpg
