id,species,scientific_name,observer,date,lat,lon,place_guess,image_url
288571876,Hedgemustards,Sisymbrium,annepostpoole,2025-06-10,44.9718064131,-110.7055410484,"Yellowstone National Park, Yellowstone National Park, WY, US",https://inaturalist-open-data.s3.amazonaws.com/photos/518966223/medium.jpg
288549791,Glacier Lily,Erythronium grandiflorum,sangsterj,2025-06-10,44.7800827026,-110.4086456299,"Yellowstone National Park, Park County, US-WY, US",https://inaturalist-open-data.s3.amazonaws.com/photos/518932209/medium.jpg
288546882,Small-flower Beardtongue,Penstemon procerus,deric_adam,2025-06-10,44.8686051844,-110.1748802147,"VR9G+88, Mammoth, WY 82190, USA",https://inaturalist-open-data.s3.amazonaws.com/photos/518918020/medium.jpg
288535193,Lanceleaf Springbeauty,Claytonia lanceolata,sangsterj,2025-06-10,44.7900810242,-110.4113388062,"Yellowstone National Park, Park County, US-WY, US",https://inaturalist-open-data.s3.amazonaws.com/photos/518930114/medium.jpg
288528517,dark-throated shooting star,Primula pauciflora,sangsterj,2025-06-10,44.7926635742,-110.4164505005,"Yellowstone National Park, Park County, US-WY, US",https://inaturalist-open-data.s3.amazonaws.com/photos/518930153/medium.jpg
288526446,Black-billed Magpie,Pica hudsonia,esai6,2025-06-10,44.9764238211,-110.7021348868,"Yellowstone National Park, Yellowstone National Park, WY, US",https://inaturalist-open-data.s3.amazonaws.com/photos/518882686/medium.jpg
288515715,prairie pasqueflower,Pulsatilla nuttalliana,sangsterj,2025-06-10,44.7982902527,-110.4304504395,Yellowstone National Park,https://inaturalist-open-data.s3.amazonaws.com/photos/518931466/medium.jpg
288490781,American Pika,Ochotona princeps,sangsterj,2025-06-10,44.7875404358,-110.4380569458,Yellowstone National Park,https://inaturalist-open-data.s3.amazonaws.com/photos/518814544/medium.jpg
288486683,Whitebark Pine,Pinus albicaulis,sangsterj,2025-06-10,44.7919540405,-110.4386672974,"Yellowstone National Park, Park County, US-WY, US",https://inaturalist-open-data.s3.amazonaws.com/photos/518931518/medium.jpg
288473832,lodgepole pine,Pinus contorta,sangsterj,2025-06-10,44.5505447388,-110.3976211548,"Yellowstone National Park, Teton County, US-WY, US",https://inaturalist-open-data.s3.amazonaws.com/photos/518807279/medium.jpg
288383950,Orange Ant-mimic Sac Spider,Castianeira amoena,eldundas,2025-06-09,44.977198063,-110.7011964981,"Yellowstone National Park, Yellowstone National Park, WY, US",https://inaturalist-open-data.s3.amazonaws.com/photos/518613108/medium.jpg
288398434,"Ducks, Geese, and Swans",Anatidae,jessicalowery,2025-06-09,44.6597358252,-110.8601264359,"Teton County, WY, USA",https://static.inaturalist.org/photos/518641598/medium.jpg
288398157,Cinnamon Teal,Spatula cyanoptera,jessicalowery,2025-06-09,44.644104709,-110.8271674516,"Teton County, WY, USA",https://static.inaturalist.org/photos/518641107/medium.jpg
288398486,Wapiti,Cervus canadensis,jessicalowery,2025-06-09,44.644104709,-110.8711127641,"Teton County, WY, USA",https://static.inaturalist.org/photos/518641790/medium.jpg
288398057,Cinnamon Teal,Spatula cyanoptera,jessicalowery,2025-06-09,44.6675498036,-110.9809760453,"Park County, WY, USA",https://static.inaturalist.org/photos/518641010/medium.jpg
288398373,"Ducks, Geese, and Swans",Anatidae,jessicalowery,2025-06-09,44.6519207937,-110.8930854203,"Teton County, WY, USA",https://static.inaturalist.org/photos/518641425/medium.jpg
288361617,Unknown,Manica invidia,deric_adam,2025-06-09,44.658102,-111.0968314,"West Yellowstone, MT 59758, USA",https://inaturalist-open-data.s3.amazonaws.com/photos/518568790/medium.jpg
288379598,"Spittlebugs, Cicadas, Leafhoppers and Treehoppers",Cicadomorpha,heathermarie,2025-06-09,44.9026616667,-110.2448666667,"Yellowstone National Park, Yellowstone National Park, WY, US",https://inaturalist-open-data.s3.amazonaws.com/photos/518603949/medium.jpg
288389378,Unknown,Aedes,tesgeorge,2025-06-09,44.2218083333,-110.65515,"S Entrance Rd, Yellowstone National Park, WY, US",https://inaturalist-open-data.s3.amazonaws.com/photos/518623220/medium.jpg
288379539,American Bison,Bison bison,heathermarie,2025-06-09,44.9025833333,-110.2448966667,"Yellowstone National Park, Yellowstone National Park, WY, US",https://inaturalist-open-data.s3.amazonaws.com/photos/518603784/medium.jpg
