id,species,scientific_name,observer,date,lat,lon,place_guess,image_url
288788808,sagebrush bluebell,Mertensia oblongifolia,jpugh,2025-06-11,45.022987579,-111.0961174686,"Yellowstone National Park, Gallatin County, US-MT, US",https://inaturalist-open-data.s3.amazonaws.com/photos/519372968/medium.jpg
288788782,Unknown,Unknown,jpugh,2025-06-11,45.0226143328,-111.0962382518,"Yellowstone National Park, Gallatin County, US-MT, US",https://inaturalist-open-data.s3.amazonaws.com/photos/519372910/medium.jpg
288788756,Unknown,Unknown,jpugh,2025-06-11,45.0228939531,-111.0961188935,"Yellowstone National Park, Gallatin County, US-MT, US",https://inaturalist-open-data.s3.amazonaws.com/photos/519372847/medium.jpg
288788732,Unknown,Unknown,jpugh,2025-06-11,45.0230675843,-111.0962034669,"Yellowstone National Park, Gallatin County, US-MT, US",https://inaturalist-open-data.s3.amazonaws.com/photos/519372762/medium.jpg
288788702,cinquefoils,Potentilla,jpugh,2025-06-11,45.0227825996,-111.0962273553,"Yellowstone National Park, Gallatin County, US-MT, US",https://inaturalist-open-data.s3.amazonaws.com/photos/519372700/medium.jpg
288788682,Unknown,Unknown,jpugh,2025-06-11,45.0227880059,-111.0964193847,"Yellowstone National Park, Gallatin County, US-MT, US",https://inaturalist-open-data.s3.amazonaws.com/photos/519372631/medium.jpg
288788654,Unknown,Unknown,jpugh,2025-06-11,45.0227326015,-111.0961100087,"Yellowstone National Park, Gallatin County, US-MT, US",https://inaturalist-open-data.s3.amazonaws.com/photos/519372582/medium.jpg
288788612,Unknown,Unknown,jpugh,2025-06-11,45.0228109723,-111.0961392615,"Yellowstone National Park, Gallatin County, US-MT, US",https://inaturalist-open-data.s3.amazonaws.com/photos/519372522/medium.jpg
288788456,Unknown,Unknown,jpugh,2025-06-11,45.0228431169,-111.0962268524,"Yellowstone National Park, Gallatin County, US-MT, US",https://inaturalist-open-data.s3.amazonaws.com/photos/519372460/medium.jpg
288740391,Unknown,Unknown,oliviaplants,2025-06-11,44.9850368337,-110.7082880188,"Yellowstone National Park, Yellowstone National Park, WY, US",https://static.inaturalist.org/photos/519284043/medium.jpg
288797335,lupines,Lupinus,jmmxre,2025-06-11,44.489475,-110.1907883333,"US-20, Yellowstone National Park, WY, US",https://static.inaturalist.org/photos/519388851/medium.jpg
288797418,American Bison,Bison bison,jmmxre,2025-06-10,44.64587,-110.458655,"Grand Loop Rd, Yellowstone National Park, WY, US",https://static.inaturalist.org/photos/519389016/medium.jpg
288793107,Alpine Milkvetch,Astragalus alpinus,jmmxre,2025-06-10,44.7337301542,-110.4901383073,"Yellowstone National Park, Park County, US-WY, US",https://static.inaturalist.org/photos/519380396/medium.jpg
288797538,Common Raven,Corvus corax,jmmxre,2025-06-10,44.734405,-110.4917133333,"Canyon Village, Yellowstone National Park, WY, US",https://static.inaturalist.org/photos/519389601/medium.jpg
288793183,Utah Honeysuckle,Lonicera utahensis,jmmxre,2025-06-10,44.5343794115,-110.4413116259,"Yellowstone National Park, Teton County, US-WY, US",https://static.inaturalist.org/photos/519380536/medium.jpg
288793241,Green Starburst Lichen,Parmeliopsis ambigua,jmmxre,2025-06-10,44.5344379591,-110.4412387033,"Yellowstone National Park, Teton County, US-WY, US",https://static.inaturalist.org/photos/519380655/medium.jpg
288793285,Grouse Whortleberry,Vaccinium scoparium,jmmxre,2025-06-10,44.5345230774,-110.4412599933,"Yellowstone National Park, Teton County, US-WY, US",https://static.inaturalist.org/photos/519380780/medium.jpg
288793452,common juniper,Juniperus communis,jmmxre,2025-06-10,44.5351941744,-110.4406989926,"Yellowstone National Park, Teton County, US-WY, US",https://static.inaturalist.org/photos/519381161/medium.jpg
288793503,Yellow-pine Chipmunk,Neotamias amoenus,jmmxre,2025-06-10,44.5355988946,-110.4399136082,"Yellowstone National Park, Teton County, US-WY, US",https://static.inaturalist.org/photos/519381275/medium.jpg
288793691,rockcresses,Boechera,jmmxre,2025-06-10,44.5356384388,-110.4393044657,"Yellowstone National Park, Teton County, US-WY, US",https://static.inaturalist.org/photos/519381736/medium.jpg
